What is your age range?,What is your gender?,"What is your approximate total household investable assets? (includes checking, savings, or money market accounts and investments – excludes your primary residence and employer-sponsored retirement accounts)",Which of the following best describes your level of comfort using technology?,What is your usual method for contacting a company? - Selected Choice,What is your usual method for contacting a company? - Other - Text,"How often do you call companies for customer service (ie support, issue, order)?",Why do you typically call customer service or a company phone number? - Selected Choice,Why do you typically call customer service or a company phone number? - Other - Text,"When you call a company, do you prefer to speak to a live agent or use an voice assistant?",How would you rate your overall experience with virtual assistants when calling a company or customer service line?,"In the past, when speaking with virtual assistant for a company, did the virtual assistant accurately understand and address your needs or concerns?",How easy or difficult do you find it to communicate with a virtual assistant when calling a company?,Can you please explain what parts of the experience make it difficult?,Can you please explain what parts of the experience make it easy?,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Clarity of instructions,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ease of navigation,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Speed of response,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Accuracy of information,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ability to reach a live agent,How comfortable are you with virtual assistants that capture your information?,Can you please explain what makes you feel that way?,At what point during the conversation with the voice assistant would you prefer to speak to a live agent?,How would you rate your comfort level with an automated system handling the following tasks? - Password reset,How would you rate your comfort level with an automated system handling the following tasks? - Real-time account balance,"How would you rate your comfort level with an automated system handling the following tasks? - Account information (Direct deposit setup, routing information)",How would you rate your comfort level with an automated system handling the following tasks? - Recently cleared checks,How would you rate your comfort level with an automated system handling the following tasks? - Physical Check reorder,How would you rate your comfort level with an automated system handling the following tasks? - Stop payment on a check,How would you rate your comfort level with an automated system handling the following tasks? - Withdrawal activity,How would you rate your comfort level with an automated system handling the following tasks? - Deposit activity,How would you rate your comfort level with an automated system handling the following tasks? - Credit card payment,"How would you rate your comfort level with an automated system handling the following tasks? - Rate & Yields (Dividend interest payments, fund yield etc)",How would you rate your comfort level with an automated system handling the following tasks? - Product features and benefits,How would you rate your comfort level with an automated system handling the following tasks? - Mortgage Inquiry,"Imagine that you need to reset your password.
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your password is reset).

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need to check your account balance. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie you are told your account balance). 

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need assistance navigating the company's home page. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your questions or concerns about the home page are answered). 

Ideally, how do you envision this interaction playing out with an voice assistant?"
35-44,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a month,To get help with a technical issue or difficulty,,Always prefer a live agent,Good,Yes,Extremely easy,,"They Can Speak Multiple Languages. 2) They are Easy to Use with GPS Tracker Software. 3) They Provide Instant Access to Information. 4) Easy to Manage Timesheet with Voice Assistant. 5) We can Use Them Anywhere, Anytime.",4,1,2,5,3,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,"With the voice assistant, be faster and more accurate","With the voice assistant, checking the balance is faster and more specific","With the voice assistant, browsing is easier and faster"
35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a year,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Good,Kind of,Somewhat easy,,It was easy and quick too,2,3,4,1,5,Somewhat comfortable,,After trying the automated system once,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Neutral,We talk about it,Id report it ,I'll infprm the customer service 
25-34,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Terrible,No,Extremely difficult,Could not get an answer ,,1,4,2,5,3,Extremely uncomfortable,Don’t like talking to a virtual person ,Immediately,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Don’t like voice assistant ,Not secure ,Don’t like giving my information out
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Somewhat easy,,But I have a feeling the whole world is gonna end soon because ,1,3,5,4,2,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,The first time you were able and I didn't have ,So you don't want me in the car right ,You are so sweet to be there with us I really love 
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Social media messaging,,Daily,To ask a question about a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,, How to Answer Interview Questions About Your Experience,3,4,5,1,2,Extremely comfortable,,After multiple attempts with the automated system,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Great and amazing ,It’s amazing brand ,Because of the quality brand 
45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,Providing an outstanding customer service ,4,5,3,2,1,Somewhat comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not sure ,Not sure ,Not sure 
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Average,Yes,Somewhat easy,,All get it fixed or provide much inquiries ,2,3,1,5,4,Somewhat comfortable,,After multiple attempts with the automated system,Not Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,All good provided it’s been fixed ,All good,Feel better 
45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Kind of,Somewhat easy,,"About how simple it is to get service with most companies, not including some other cell phone company stock that I don’t admire with others",4,2,1,5,3,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Not Comfortable,Neutral,Comfortable,Not Comfortable,Comfortable,"They would they would ask me what you did that you forgot your password, and and and what you can do to fix it.","The voice, assistant, what what would as well as your credit card number which I’ll be very hesitant to do.",You’re active voice to say agent to go to the place that you wanted to go to and it should be able to take you there like how an A.I does.
65,Male,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Somewhat difficult,They don't always understand what I'm asking,,3,4,5,2,1,Neutral,,Immediately,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Hopefully the same way it would with a human,Same as with a human,I think I would need to get transferred to a person
55-65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Somewhat difficult,Often have to phrase things two or three different ways to be understood. Often ends up being transferred to a live agent anyway,,4,5,2,1,3,Neutral,,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Neutral,There would need to be some form of MFA and security question validation. I would expect multiple layers of authentication,Simple authentication should suffice as it’s not transactional,High degree of speech comprehension as the query will likely be ambiguous.
